AED553 lecture,"['T 9-11:50a']"
AED555 lecture,"['W 9-11:50a']"
AED557 lecture,"['M 9-11:50a']"
LEAD443 lecture,"['TR 2-3:20p']"
ANS121 lecture,"['MWF 8-8:50a', 'MWF 8-8:50a']"
ANS220 lecture,"['TR 3-3:50p']"
ANS311 lecture,"['MWF 1-1:50p']"
ANS341 lecture,"['TR 2-3:20p']"
ANS378 lecture,"['TR 10-11:50a']"
ANS420 lecture,"['MWF 1-1:50p']"
ANS435 lecture,"['TR 10-11:20a']"
RNG121 lecture,"['MWF 10-10:50a']"
RNG341 lecture,"['TR 8-9:20a']"
RNG355 lecture,"['MW 12-1:20p']"
AEC121 lecture,"['MW 8-8:50a']"
AEC251 lecture,"['TR 12-1:20p']"
AEC352 lecture,"['TR 12-1:20p']"
AEC465 lecture,"['TR 10-11:20a']"
AEC512 lecture,"['MTWR 10-11:50a']"
AEC525 lecture,"['TR 12-1:20p; F 1-1:50p']"
BRR100 lecture,"['MW 4-4:50p']"
BOT220 lecture,"['MWF 9-9:50a']"
BOT350 lecture,"['MWF 11-11:50a']"
BOT461 lecture,"['MW 9-9:50a']"
BOT550 lecture,"['MWF 11-11:50a']"
CROP200 lecture,"['MWF 9-9:50a']"
CROP300 lecture,"['MWF 8-8:50a']"
SOIL205 lecture,"['MWF 11-11:50a']"
SOIL316 lecture,"['MWF 11-11:50a']"
SUS102 lecture,"['TR 10-11:20a']"
SUS304 lecture,"['TR 10-11:50a']"
SUS350 lecture,"['MW 12-1:50p']"
TOX530 lecture,"['TR 10-11:20a']"
FW255 lecture,"['M 1-1:50p']"
FW312 lecture,"['R 4-4:50p']"
FW315 lecture,"['MWF 11-11:50a']"
FW316 lecture,"['T 11-11:50a; S 8:30a-2:50p']"
FW350 lecture,"['MWF 10-10:50a']"
FW454 lecture,"['MWF 9-9:50a']"
FW464 lecture,"['TR 9-10:20a']"
FW599 lecture,"['T 10-10:50a', 'W 2-3:50p', 'W 4-4:50p', 'R 1-1:50p', 'TR 10-11:20a']"
FST101 lecture,"['F 12-12:50p']"
FST422 lecture,"['MWF 8-8:50a']"
FST460 lecture,"['TR 2-3:20p']"
FST522 lecture,"['MWF 8-8:50a']"
HORT112 lecture,"['W 1-1:50p']"
HORT226 lecture,"['TR 12-1:20p; R 10-10:50a']"
HORT251 lecture,"['T 2-2:50p']"
HORT300 lecture,"['MWF 8-8:50a']"
HORT301 lecture,"['MWF 12-12:50p']"
HORT314 lecture,"['MWF 10-10:50a']"
HORT452 lecture,"['MW 10-11:50a']"
HORT463 lecture,"['TR 2-3:20p']"
ACTG317 lecture,"['TR 8-9:50a; W 7-8:50p', 'TR 10-11:50a; W 7-8:50p', 'TR 2-3:50p; W 7-8:50p']"
ACTG417 lecture,"['MW 8-9:50a']"
