ACTG 425 lecture,"['MW 8-9:50a']"
ACTG 427 lecture,"['MW 2-3:50p']"
AEC 211 lecture,"['TR 12-1:50p']"
AEC 243 lecture,"['TR 2-3:20p']"
AEC 311 lecture,"['MW 10-11:50a']"
AEC 351 lecture,"['TR 10-11:20a']"
AEC 411 lecture,"['TR 2-3:20p']"
AEC 442 lecture,"['TR 8-9:50a']"
AEC 511 lecture,"['TR 2-3:20p']"
AEC 611 lecture,"['TR 12-1:50p']"
AEC 625 lecture,"['MW 10-11:20a; F 1-1:50p']"
AEC 627 lecture,"['MW 2-3:50p']"
AEC 643 lecture,"['TR 10-11:20a']"
AED 556 lecture,"['R 4-6:50p']"
AED 580 lecture,"['TR 10-11:20a']"
AG 301 lecture,"['TR 6-7:20p']"
AG 311 lecture,"['TR 4-5:20p']"
AGRI 438 lecture,"['TR 2-2:50p']"
AI 531 lecture,"['TR 8-9:50a']"
AI 536 lecture,"['TR 10-11:50a']"
AI 539 lecture,"['MW 8-9:50a', 'TR 12-1:20p', 'TR 4-5:20p', 'MW 4-5:50p', 'MWF 3-3:50p']"
AJ 312 lecture,"['TR 10-11:20a']"
ALS 107 lecture,"['W 4-4:50p']"
ALS 114 lecture,"['WF 12-12:50p', 'TR 1-1:50p']"
ALS 139 lecture,"['TR 8:30-9:50a']"
ALS 150 lecture,"['MWF 8-9:50a']"
ALS 151 lecture,"['MWF 8-9:50a', 'MWF 3-4:50p']"
ALS 162 lecture,"['MWF 8-9:50a', 'MWF 4-5:50p', 'TR 3:30-6:20p']"
ALS 165 lecture,"['MWF 4-5:50p']"
ALS 174 lecture,"['MWF 8-9:50a']"
ALS 140 lecture,"['TR 3:30-4:50p', 'TR 3:30-4:50p']"
ALS 141 lecture,"['TR 8:30-9:50a', 'TR 8:30-9:50a']"
ALS 299 lecture,"['T 12-12:50p']"
ANS 216 lecture,"['MW 2-2:50p; S 8a-4:50p']"
ANS 251 lecture,"['TR 8-8:50a']"
ANS 302 lecture,"['TR 10-11:50a']"
ANS 314 lecture,"['TR 10-11:20a']"
ANS 420 lecture,"['TR 12-1:20p']"
ANS 431 lecture,"['MWF 9-9:50a']"
ANS 441 lecture,"['TR 12-1:20p']"
ANS 460 lecture,"['TR 4-5:20p']"
ANS 531 lecture,"['MWF 9-9:50a']"
ANS 541 lecture,"['TR 12-1:20p']"
ANS 662 lecture,"['TR 4-5:20p']"
ANTH 101 lecture,"['MW 9-9:50a']"
ANTH 240 lecture,"['TR 8:30-9:50a']"
ANTH 284 lecture,"['TR 12-1:50p']"
ANTH 318 lecture,"['MWF 9-9:50a']"
ANTH 330 lecture,"['MWF 3-3:50p']"
ANTH 350 lecture,"['MW 2-3:50p']"
ANTH 361 lecture,"['TR 12-1:50p']"
ANTH 421 lecture,"['TR 10-11:50a']"
ANTH 433 lecture,"['MW 12-1:50p']"
ANTH 444 lecture,"['TR 2-3:50p']"
ANTH 475 lecture,"['MW 12-1:50p']"
ANTH 521 lecture,"['TR 10-11:50a']"
ANTH 531 lecture,"['TR 12-1:50p']"
ANTH 533 lecture,"['MW 12-1:50p']"
ANTH 544 lecture,"['TR 2-3:50p']"
ANTH 591 lecture,"['TR 4-5:50p']"
ANTH 595 lecture,"['MW 10-11:50a']"
ARE 341 lecture,"['TR 12-1:50p']"
ARE 361 lecture,"['TR 10-11:50a']"
ARE 499 lecture,"['MW 9-10:50a']"
ARE 599 lecture,"['TR 12-1:50p', 'MW 9-10:50a']"
ART 310 lecture,"['TR 10-11:20a']"
ART 321 lecture,"['MWF 2-2:50p']"
INCE 194 lecture,"['TR 5-6:20p']"
ART 457 lecture,"['M 5-6:50p']"
AS 312 lecture,"['T 1-3:50p']"
AS 412 lecture,"['TR 10-11:20a']"
ATS 201 lecture,"['MWF 9-9:50a']"
ATS 420 lecture,"['TR 10-11:20a']"
ATS 520 lecture,"['TR 10-11:20a']"
BA 161 lecture,"['MW 10-10:50a; W 7-8:50p', 'TR 9-9:50a; W 7-8:50p', 'TR 10-10:50a; W 7-8:50p', 'TR 10-10:50a; W 7-8:50p', 'MW 11-11:50a; W 7-8:50p', 'MW 12-12:50p; W 7-8:50p', 'TR 11-11:50a; W 7-8:50p', 'TR 12-12:50p; W 7-8:50p', 'TR 12-12:50p; W 7-8:50p', 'MW 2-2:50p; W 7-8:50p', 'TR 1-1:50p; W 7-8:50p', 'TR 2-2:50p; W 7-8:50p', 'TR 3-3:50p; W 7-8:50p', 'MW 1-1:50p; W 7-8:50p', 'MW 12-12:50p; W 7-8:50p', 'MW 2-2:50p; W 7-8:50p', 'TR 2-2:50p; W 7-8:50p', 'TR 3-3:50p; W 7-8:50p', 'TR 11-11:50a; W 7-8:50p', 'TR 11-11:50a; W 7-8:50p', 'TR 1-1:50p; W 7-8:50p', 'TR 1-1:50p; W 7-8:50p', 'TR 2-2:50p; W 7-8:50p', 'TR 2-2:50p; W 7-8:50p']"
BA 167 lecture,"['MW 11-11:50a; W 7-8:50p', 'MW 11-11:50a; W 7-8:50p', 'MW 1-1:50p; W 7-8:50p', 'MW 1-1:50p; W 7-8:50p']"
BA 211 lecture,"['MW 12-1:50p; W 7-8:50p', 'MW 2-3:50p; W 7-8:50p', 'TR 8-9:50a; W 7-8:50p']"
BA 213 lecture,"['MW 8-9:50a; W 7-8:50p', 'MW 10-11:50a; W 7-8:50p', 'MW 12-1:50p; W 7-8:50p', 'TR 2-3:50p; W 7-8:50p']"
BA 223 lecture,"['MW 10-11:50a', 'MW 4-5:50p']"
BA 230 lecture,"['MW 8-9:50a', 'MW 12-1:50p', 'TR 4-5:50p']"
BA 260 lecture,"['MW 10-11:50a', 'MW 12-1:50p', 'MW 4-5:50p', 'TR 8-9:50a', 'TR 10-11:50a']"
BA 270 lecture,"['TR 8-9:50a', 'TR 10-11:50a', 'TR 2-3:50p']"
BA 275 lecture,"['MW 8-9:50a', 'TR 8-9:50a', 'TR 10-11:50a']"
BA 280 lecture,"['MW 9-9:50a']"
BA 281 lecture,"['MW 4-5:20p', 'MW 5:30-6:50p', 'TR 4-5:20p']"
BA 315 lecture,"['MW 12-1:50p']"
BA 330 lecture,"['MW 2-3:50p']"
BA 347 lecture,"['TR 8-9:50a']"
BA 352 lecture,"['MW 2-3:50p']"
BA 354 lecture,"['MW 12-1:50p', 'MW 2-3:50p', 'MW 4-5:50p', 'TR 10-11:50a']"
BA 357 lecture,"['MW 8-9:50a', 'MW 10-11:50a', 'TR 2-3:50p', 'TR 4-5:50p']"
BA 370 lecture,"['MW 8-9:50a', 'MW 12-1:50p', 'MW 2-3:50p']"
BA 375 lecture,"['MW 10-11:50a', 'MW 4-5:50p', 'TR 10-11:50a', 'TR 12-1:50p']"
BA 381 lecture,"['MW 10-11:50a', 'TR 10-11:50a']"
BA 390 lecture,"['TR 2-3:50p']"
BA 458 lecture,"['TR 2-3:50p']"
BA 466 lecture,"['TR 10-11:50a', 'TR 12-1:50p']"
BA 512 lecture,"['MW 8-9:50a']"
BA 515 lecture,"['R 12-2:50p', 'R 12-2:50p']"
BA 540 lecture,"['R 3-5:50p']"
BA 555 lecture,"['R 6-8:50p']"
BA 561 lecture,"['T 12-2:50p', 'T 6-8:50p']"
BA 590 lecture,"['W 6-8:50p']"
BA 613 lecture,"['R 2-4:50p']"
BA 661 lecture,"['W 2-4:50p']"
BANA 450 lecture,"['T 4-5:50p']"
BANA 470 lecture,"['M 6-8:50p']"
BANA 471 lecture,"['M 3-5:50p']"
BANA 570 lecture,"['M 12-2:50p', 'M 6-8:50p']"
BANA 571 lecture,"['M 3-5:50p', 'T 6-8:50p']"
BB 314 lecture,"['TR 2-3:20p']"
BB 317 lecture,"['TR 10-11:20a']"
BB 360 lecture,"['MWF 9-9:50a']"
BB 450 lecture,"['MWF 9-9:50a']"
BB 482 lecture,"['MWF 1-1:50p']"
BB 485 lecture,"['MWF 9-9:50a']"
BB 494 lecture,"['T 4-4:50p']"
BB 550 lecture,"['MWF 9-9:50a']"
BB 582 lecture,"['MWF 1-1:50p']"
BB 585 lecture,"['MWF 9-9:50a']"
BB 651 lecture,"['TR 4-5:20p']"
BB 699 lecture,"['W 12-1:50p']"
BDS 311 lecture,"['TR 10-11:20a']"
BDS 420 lecture,"['T 4-4:50p']"
BDS 475 lecture,"['TR 1-1:50p']"
BDS 478 lecture,"['TR 2-3:20p']"
BDS 575 lecture,"['TR 1-1:50p']"
BDS 578 lecture,"['TR 2-3:20p']"
BDS 599 lecture,"['TR 10-10:50a', 'MW 2-2:50p', 'MW 2-2:50p']"
BEE 221 lecture,"['TR 10-11:20a']"
BEE 312 lecture,"['TR 12-1:20p']"
BEE 482 lecture,"['MWF 1-1:50p']"
BEE 549 lecture,"['TR 8:30-9:50a']"
BHS 107 lecture,"['W 5-6:50p']"
BI 102 lecture,"['TR 10-10:50a']"
BI 222 lecture,"['MWF 1-1:50p']"
BI 232 lecture,"['MWF 9-9:50a']"
BI 311 lecture,"['MWF 9-9:50a']"
BI 332 lecture,"['TR 8:30-9:50a']"
BI 347 lecture,"['TR 12-1:20p']"
BI 351 lecture,"['MWF 9-9:50a']"
BI 370 lecture,"['TR 12-1:20p', 'TR 12-1:20p']"
BI 445 lecture,"['TR 2-3:20p']"
BI 481 lecture,"['MWF 2-2:50p']"
BI 485 lecture,"['TR 2-3:20p']"
BIOE 420 lecture,"['TR 8-8:50a']"
BIOE 492 lecture,"['WF 8-9:50a']"
BIOE 520 lecture,"['TR 8-8:50a']"
BIS 371 lecture,"['TR 10-11:50a']"
BIS 471 lecture,"['MW 10-11:50a']"
BOT 313 lecture,"['TR 12-12:50p']"
BOT 331 lecture,"['MWF 9-9:50a']"
BOT 411 lecture,"['T 4-4:50p']"
BOT 488 lecture,"['MWF 3-3:50p']"
BOT 588 lecture,"['MWF 3-3:50p']"
BOT 599 lecture,"['T 4-4:50p']"
BRR 200 lecture,"['W 4-5:50p']"
BRR 406 lecture,"['W 4-4:50p']"
CBEE 212 lecture,"['MF 2-2:50p', 'MF 9-9:50a', 'MF 2-2:50p']"
CCE 203 lecture,"['TR 2-3:20p']"
CCE 525 lecture,"['TR 4-5:20p']"
CCE 529 lecture,"['MW 8-9:20a']"
CCE 599 lecture,"['TR 10-11:20a']"
CCE 623 lecture,"['TR 10-11:50a']"
CCE 624 lecture,"['TR 4-5:50p']"
CE 202 lecture,"['TR 10-11:20a']"
CE 311 lecture,"['MWF 9-9:50a']"
CE 313 lecture,"['MWF 9-9:50a']"
MF 11 lecture,"['MF 11-11:50a']"
CE 383 lecture,"['MW 4-5:20p']"
CE 411 lecture,"['MW 12-1:50p']"
CE 413 lecture,"['TR 4-5:20p']"
CE 417 lecture,"['TR 2-3:50p']"
