AED553 lecture,['T 9-11:50a']
AED555 lecture,['W 9-11:50a']
AED557 lecture,['M 9-11:50a']
AG111 lecture,[]
AG199 lecture,[]
AG301 lecture,[]
AG391 lecture,[]
AG421 lecture,[]
AG435 lecture,[]
AG499 lecture,[]
LEAD342 lecture,[]
LEAD443 lecture,['TR 2-3:20p']
ANS121 lecture,['MWF 8-8:50a', 'MWF 8-8:50a']
ANS220 lecture,['TR 3-3:50p']
ANS311 lecture,['MWF 1-1:50p']
ANS315 lecture,[]
ANS327 lecture,[]
ANS341 lecture,['TR 2-3:20p']
ANS378 lecture,['TR 10-11:50a']
ANS380 lecture,[]
ANS420 lecture,['MWF 1-1:50p']
ANS434 lecture,[]
ANS435 lecture,['TR 10-11:20a']
ANS439 lecture,[]
ANS445 lecture,[]
ANS599 lecture,[]
RNG121 lecture,['MWF 10-10:50a']
RNG341 lecture,['TR 8-9:20a']
RNG353 lecture,[]
RNG355 lecture,['MW 12-1:20p']
RNG421 lecture,[]
AEC121 lecture,['MW 8-8:50a']
AEC250 lecture,[]
AEC251 lecture,['TR 12-1:20p']
AEC351 lecture,[]
AEC352 lecture,['TR 12-1:20p']
AEC388 lecture,[]
AEC460 lecture,[]
AEC465 lecture,['TR 10-11:20a']
AEC512 lecture,['MTWR 10-11:50a']
AEC525 lecture,['TR 12-1:20p; F 1-1:50p']
BRR100 lecture,['MW 4-4:50p']
BOT220 lecture,['MWF 9-9:50a']
BOT324 lecture,[]
BOT341 lecture,[]
BOT350 lecture,['MWF 11-11:50a']
BOT461 lecture,['MW 9-9:50a']
BOT550 lecture,['MWF 11-11:50a']
CROP200 lecture,['MWF 9-9:50a']
CROP300 lecture,['MWF 8-8:50a']
CROP310 lecture,[]
CROP330 lecture,[]
CROP440 lecture,[]
CROP460 lecture,[]
CSS205 lecture,[]
CSS305 lecture,[]
CSS306 lecture,[]
SOIL205 lecture,['MWF 11-11:50a']
SOIL206 lecture,[]
SOIL316 lecture,['MWF 11-11:50a']
SOIL388 lecture,[]
SOIL395 lecture,[]
SOIL466 lecture,[]
SUS102 lecture,['TR 10-11:20a']
SUS103 lecture,[]
SUS304 lecture,['TR 10-11:50a']
SUS350 lecture,['MW 12-1:50p']
SUS420 lecture,[]
ENT300 lecture,[]
ENT311 lecture,[]
ENT322 lecture,[]
ENT331 lecture,[]
TOX360 lecture,[]
TOX530 lecture,['TR 10-11:20a']
FW251 lecture,[]
FW255 lecture,['M 1-1:50p']
FW289 lecture,[]
FW302 lecture,[]
FW303 lecture,[]
FW311 lecture,[]
FW312 lecture,['R 4-4:50p']
FW315 lecture,['MWF 11-11:50a']
FW316 lecture,['T 11-11:50a; S 8:30a-2:50p']
FW317 lecture,[]
FW320 lecture,[]
FW321 lecture,[]
FW323 lecture,[]
FW325 lecture,[]
